Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Kuwait,KWT,High-technology exports (current US$),TX.VAL.TECH.CD,..,97598779,5504359,4071885,3815330,5445869,231418445,26496306,30598853,33548389,23822001,54309594
Kyrgyz Republic,KGZ,High-technology exports (current US$),TX.VAL.TECH.CD,16118188,17235761,6232732,43740659,66838962,88906754,40021412,29752221,27637566,87115119,135451210,195275130
Lao PDR,LAO,High-technology exports (current US$),TX.VAL.TECH.CD,11789240,45042419,153548987,298095207,275176770,389702557,467981187,229427362,235751311,109835608,..,..
Latvia,LVA,High-technology exports (current US$),TX.VAL.TECH.CD,777101185,1082132640,1329551397,1291461256,1203265197,1413241527,1879359261,1469867603,1837827506,1946947495,2031294038,2076324272
Lebanon,LBN,High-technology exports (current US$),TX.VAL.TECH.CD,44885450,49912501,46483050,37657222,38914218,45983340,39532007,65240726,76215638,43838265,323842671,98096541
Lesotho,LSO,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,817863,3060332,1008052,434789,1323583,237290,535475,666218,..
Liberia,LBR,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,35034938,9816795,1141739,3035,961787,859787,97955
Libya,LBY,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,..,1125922,..,..,..,..
Liechtenstein,LIE,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,LTU,High-technology exports (current US$),TX.VAL.TECH.CD,1712696458,1907236937,2092945195,1919844678,1962936712,2317776578,2516321201,2527082809,2619281589,3107242456,3618309366,3740035230
Luxembourg,LUX,High-technology exports (current US$),TX.VAL.TECH.CD,925505869,743286957,679505046,702205301,811598442,623101763,858272049,790998624,618381650,806654895,820151287,801169826
"Macao SAR, China",MAC,High-technology exports (current US$),TX.VAL.TECH.CD,0,0,38294,0,0,4766535,0,0,0,0,0,0
Madagascar,MDG,High-technology exports (current US$),TX.VAL.TECH.CD,6916909,46778145,11096042,12823723,10870921,9810822,8235322,7250779,3274143,3063735,3306828,3982231
Malawi,MWI,High-technology exports (current US$),TX.VAL.TECH.CD,1663907,10906009,9986124,1895328,2983847,1072475,1170462,4011025,1317730,4625003,2422189,4133308
Malaysia,MYS,High-technology exports (current US$),TX.VAL.TECH.CD,66601865553,67098769337,70953123101,64470973254,63205038631,74126053407,90503212029,86902999434,92101649422,108684889920,136826796904,127032168259
Maldives,MDV,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,120,708,..,..,2793,10421,37875,646
Mali,MLI,High-technology exports (current US$),TX.VAL.TECH.CD,3974159,..,..,..,10105788,3017420,10404137,11053681,..,..,..,..
Malta,MLT,High-technology exports (current US$),TX.VAL.TECH.CD,1272189923,1016402096,856958447,634073649,582916892,650667575,760310070,754560031,844223212,763239296,1015509185,1234225995
Marshall Islands,MHL,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,..,..,..,..,..,..
Mauritania,MRT,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,44,..,..,3399,1190218,1380718,1093142,3637891
